InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
52389,41640.04611,United Kingdom,2152,UK2,Male,11,44,10.5,159,0,2014,1,159
52390,41640.15611,United States,2230,US15,Male,11.5,44-45,11,199,0.2,2014,1,159.2
52391,41640.37611,Canada,2160,CAN7,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52392,41640.38611,United States,2234,US6,Female,9.5,40,7.5,159,0,2014,1,159
52393,41640.56611,United Kingdom,2222,UK4,Female,9,39-40,7,159,0,2014,1,159
52394,41640.66611,United States,2173,US15,Male,10.5,43-44,10,159,0,2014,1,159
52395,41641.04611,Germany,2200,GER2,Female,9,39-40,7,179,0,2014,1,179
52396,41641.37611,Canada,2238,CAN5,Male,10,43,9.5,169,0,2014,1,169
52397,41641.38611,United States,2191,US13,Male,10.5,43-44,10,139,0,2014,1,139
52398,41641.56611,United Kingdom,2237,UK1,Female,9,39-40,7,149,0,2014,1,149
52399,41641.59611,United States,2197,US1,Male,10,43,9.5,129,0,2014,1,129
52399,41641.59611,United States,2213,US11,Female,9.5,40,7.5,169,0.1,2014,1,152.1
52399,41641.59611,United States,2206,US2,Female,9.5,40,7.5,139,0,2014,1,139
52400,41641.66611,United States,2152,US15,Male,8,41,7.5,139,0,2014,1,139
52401,41642.10611,Germany,2235,GER1,Male,10.5,43-44,10,169,0.5,2014,1,84.5
52401,41642.10611,Germany,2197,GER1,Female,8.5,39,6.5,179,0.2,2014,1,143.2
52402,41642.37611,Canada,2240,CAN6,Male,9.5,42-43,9,199,0.3,2014,1,139.3
52403,41642.38611,United States,2221,US7,Male,11,44,10.5,149,0.5,2014,1,74.5
52404,41642.59611,United States,2234,US6,Female,9.5,40,7.5,159,0,2014,1,159
52404,41642.59611,United States,2197,US1,Male,10,43,9.5,129,0,2014,1,129
52404,41642.59611,United States,2213,US11,Female,9.5,40,7.5,169,0.1,2014,1,152.1
52405,41642.62611,United States,2213,US7,Female,8,38-39,6,139,0,2014,1,139
52406,41642.66611,United States,2147,US15,Male,9.5,42-43,9,139,0,2014,1,139
52407,41643.10611,United States,2224,US13,Male,9,42,8.5,149,0.1,2014,1,134.1
52408,41643.10611,Germany,2206,GER2,Male,8.5,41-42,8,149,0.2,2014,1,119.2
52409,41643.21611,Germany,2157,GER2,Male,12,45,11.5,149,0.2,2014,1,119.2
52410,41643.21611,Canada,2169,CAN3,Female,8,38-39,6,129,0,2014,1,129
52411,41643.59611,United States,2191,US13,Male,10.5,43-44,10,139,0,2014,1,139
52411,41643.59611,United States,2234,US6,Female,9.5,40,7.5,159,0,2014,1,159
52411,41643.59611,United States,2197,US1,Male,10,43,9.5,129,0,2014,1,129
52412,41643.62611,United States,2173,US15,Male,10.5,43-44,10,159,0,2014,1,159
52413,41644.03611,United Kingdom,2156,UK5,Female,8,38-39,6,169,0.1,2014,1,152.1
52414,41644.10611,Germany,2235,GER1,Male,9.5,42-43,9,169,0.3,2014,1,118.3
52414,41644.10611,Germany,2239,GER2,Female,8.5,39,6.5,129,0.5,2014,1,64.5
52415,41644.21611,Canada,2169,CAN3,Female,8,38-39,6,129,0,2014,1,129
52416,41644.21611,Germany,2235,GER1,Male,10.5,43-44,10,169,0.5,2014,1,84.5
52417,41644.40611,United States,2154,US15,Male,11,44,10.5,189,0,2014,1,189
52418,41644.62611,United States,2152,US15,Male,8,41,7.5,139,0,2014,1,139
52419,41645.03611,Canada,2154,CAN3,Male,10.5,43-44,10,179,0,2014,1,179
52420,41645.03611,Germany,2154,GER1,Male,10,43,9.5,199,0,2014,1,199
52421,41645.21611,Germany,2206,GER2,Male,8.5,41-42,8,149,0.2,2014,1,119.2
52421,41645.21611,Germany,2235,GER1,Male,10.5,43-44,10,169,0.5,2014,1,84.5
52422,41645.40611,United States,2213,US7,Female,8,38-39,6,139,0,2014,1,139
52423,41645.41611,United States,2225,US15,Male,10,43,9.5,199,0.3,2014,1,139.3
52424,41645.61611,Canada,2150,CAN2,Female,9,39-40,7,139,0.2,2014,1,111.2
52425,41646.03611,Canada,2160,CAN7,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52426,41646.03611,United Kingdom,2167,UK2,Female,8,38-39,6,199,0,2014,1,199
52427,41646.40611,Germany,2242,GER2,Female,7,37-38,5,189,0.1,2014,1,170.1
52428,41646.40611,United States,2173,US15,Male,10.5,43-44,10,159,0,2014,1,159
52429,41646.41611,Germany,2239,GER1,Female,9.5,40,7.5,159,0.5,2014,1,79.5
52430,41646.61611,United Kingdom,2168,UK1,Male,10,43,9.5,159,0.1,2014,1,143.1
52431,41646.90611,United States,2204,US13,Male,9.5,42-43,9,129,0.1,2014,1,116.1
52432,41647.03611,Canada,2238,CAN5,Male,10,43,9.5,169,0,2014,1,169
52433,41647.40611,Canada,2154,CAN3,Male,10.5,43-44,10,179,0,2014,1,179
52434,41647.41611,Germany,2238,GER2,Female,9.5,40,7.5,189,0,2014,1,189
52435,41647.61611,United Kingdom,2229,UK4,Male,7,40,6.5,169,0,2014,1,169
52436,41647.75611,Germany,2225,GER2,Male,9.5,42-43,9,179,0.1,2014,1,161.1
52437,41647.90611,United States,2207,US13,Male,12,45,11.5,169,0,2014,1,169
52438,41648.20611,United States,2168,US15,Male,11,44,10.5,139,0.1,2014,1,125.1
52439,41648.40611,Canada,2160,CAN7,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52440,41648.75611,Germany,2195,GER2,Male,9,42,8.5,189,0,2014,1,189
52441,41648.90611,United States,2191,US15,Female,8.5,39,6.5,189,0.5,2014,1,94.5
52442,41648.99611,Canada,2217,CAN3,Female,9,39-40,7,149,0,2014,1,149
52443,41649.20611,United States,2195,US7,Female,8,38-39,6,129,0.1,2014,1,116.1
52444,41649.75611,Germany,2157,GER2,Male,12,45,11.5,149,0.2,2014,1,119.2
52445,41649.79611,United States,2176,US5,Female,8,38-39,6,129,0,2014,1,129
52446,41649.79611,Germany,2185,GER1,Male,8,41,7.5,179,0,2014,1,179
52447,41649.95611,Canada,2213,CAN6,Female,8,38-39,6,139,0,2014,1,139
52448,41649.99611,Canada,2150,CAN2,Female,9,39-40,7,139,0.2,2014,1,111.2
52449,41650.20611,United States,2154,US15,Male,11,44,10.5,189,0,2014,1,189
52450,41650.79611,United States,2230,US15,Female,8,38-39,6,129,0,2014,1,129
52450,41650.79611,United States,2207,US1,Female,8,38-39,6,199,0.1,2014,1,179.1
52451,41650.95611,United Kingdom,2167,UK2,Female,8.5,39,6.5,149,0,2014,1,149
52452,41650.95611,Germany,2225,GER2,Male,9.5,42-43,9,179,0.1,2014,1,161.1
52453,41650.99611,United Kingdom,2168,UK1,Male,10,43,9.5,159,0.1,2014,1,143.1
52454,41651.79611,United States,2159,US15,Female,8,38-39,6,179,0.5,2014,1,89.5
52454,41651.79611,United States,2168,US15,Male,11,44,10.5,139,0.1,2014,1,125.1
52455,41651.83611,Canada,2204,CAN1,Male,9,42,8.5,199,0,2014,1,199
52456,41651.95611,United States,2206,US12,Male,10,43,9.5,149,0.3,2014,1,104.3
52457,41651.95611,Germany,2195,GER2,Male,9,42,8.5,189,0,2014,1,189
52458,41652.32611,United States,2231,US9,Female,7.5,38,5.5,169,0.1,2014,1,152.1
52459,41652.45611,Canada,2172,CAN6,Female,8,38-39,6,149,0.2,2014,1,119.2
52460,41652.83611,Canada,2226,CAN6,Male,12,45,11.5,129,0.2,2014,1,103.2
52461,41652.95611,United States,2232,US4,Female,7.5,38,5.5,169,0,2014,1,169
52461,41652.95611,United States,2230,US14,Female,9,39-40,7,179,0,2014,1,179
52461,41652.95611,United States,2169,US3,Female,10,40-41,8,169,0.3,2014,1,118.3
52462,41652.95611,United Kingdom,2182,UK3,Female,8.5,39,6.5,129,0,2014,1,129
52463,41653.32611,Germany,2191,GER3,Male,10,43,9.5,149,0,2014,1,149
52464,41653.45611,Canada,2213,CAN6,Female,8,38-39,6,139,0,2014,1,139
52465,41653.71611,Germany,2199,GER2,Male,11.5,44-45,11,189,0,2014,1,189
52466,41653.83611,United States,2159,US15,Female,6,36-37,4,199,0.1,2014,1,179.1
52467,41653.95611,United States,2210,US2,Female,7.5,38,5.5,189,0,2014,1,189
52467,41653.95611,United States,2194,US13,Female,9,39-40,7,179,0,2014,1,179
52467,41653.95611,United States,2169,US14,Male,10.5,43-44,10,139,0,2014,1,139
52468,41654.32611,United States,2192,US3,Female,7.5,38,5.5,169,0,2014,1,169
52469,41654.45611,Germany,2225,GER2,Male,9.5,42-43,9,179,0.1,2014,1,161.1
52470,41654.71611,Canada,2178,CAN5,Male,9.5,42-43,9,139,0.1,2014,1,125.1
52471,41654.71611,United States,2152,US15,Female,7.5,38,5.5,149,0.3,2014,1,104.3
52472,41654.95611,United States,2231,US9,Female,7.5,38,5.5,169,0.1,2014,1,152.1
52472,41654.95611,United States,2222,US1,Female,9,39-40,7,139,0.1,2014,1,125.1
52472,41654.95611,United States,2202,US14,Female,10,40-41,8,129,0.3,2014,1,90.3
52473,41655.31611,Canada,2213,CAN2,Male,8.5,41-42,8,169,0.5,2014,1,84.5
52474,41655.69611,United States,2204,US6,Female,7.5,38,5.5,169,0,2014,1,169
52474,41655.69611,United States,2161,US15,Male,10,43,9.5,139,0,2014,1,139
52474,41655.69611,United States,2233,US1,Female,9.5,40,7.5,149,0.3,2014,1,104.3
52475,41655.71611,Germany,2242,GER2,Female,7,37-38,5,189,0.1,2014,1,170.1
52476,41655.71611,United States,2194,US15,Female,7.5,38,5.5,129,0,2014,1,129
52477,41656.21611,Canada,2177,CAN6,Male,11,44,10.5,169,0,2014,1,169
52478,41656.31611,Canada,2220,CAN6,Male,9.5,42-43,9,169,0,2014,1,169
52479,41656.48611,United States,2177,US5,Female,7.5,38,5.5,159,0.2,2014,1,127.2
52479,41656.48611,United States,2163,US9,Female,9.5,40,7.5,129,0.1,2014,1,116.1
52480,41656.69611,United States,2232,US4,Female,7.5,38,5.5,169,0,2014,1,169
52480,41656.69611,United States,2163,US14,Female,9.5,40,7.5,169,0,2014,1,169
52480,41656.69611,United States,2150,US8,Male,9.5,42-43,9,199,0,2014,1,199
52481,41656.71611,Canada,2154,CAN3,Male,10.5,43-44,10,179,0,2014,1,179
