EmployeeCount,EmployeeID,Department,JobRole,Attrition,Gender,Age,MaritalStatus,Education,EducationField,BusinessTravel,JobInvolvement,JobLevel,JobSatisfaction,Hourlyrate,Salaryhike,OverTime,Workex,YearsSinceLastPromotion,EmpSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Performance_Rating,Income,Income_Mean
1,1,Sales,Sales Executive,Yes,Female,41,Single,College,Life Sciences,Travel_Rarely,High,2,Very High,94,11,Yes,8,0,Medium,0,Bad,Excellent,5993,5840.8
1,2,Research & Development,Research Scientist,No,Male,49,Married,Below College,Life Sciences,Travel_Frequently,Medium,2,Medium,61,23,No,10,1,High,3,Better,Outstanding,5130,5840.8
1,4,Research & Development,Laboratory Technician,Yes,Male,37,Single,College,Other,Travel_Rarely,Medium,1,High,92,15,Yes,7,0,Very High,3,Better,Excellent,2090,5840.8
1,5,Research & Development,Research Scientist,No,Female,33,Married,Master,Life Sciences,Travel_Frequently,High,1,High,56,11,Yes,8,3,Very High,3,Better,Excellent,2909,5840.8
1,7,Research & Development,Laboratory Technician,No,Male,27,Married,Below College,Medical,Travel_Rarely,High,1,Medium,40,12,No,6,2,Low,3,Better,Excellent,3468,5840.8
1,8,Research & Development,Laboratory Technician,No,Male,32,Single,College,Life Sciences,Travel_Frequently,High,1,Very High,79,13,No,8,3,Very High,2,Good,Excellent,3068,5840.8
1,10,Research & Development,Laboratory Technician,No,Female,59,Married,Bachelor,Medical,Travel_Rarely,Very High,1,Low,81,20,Yes,12,0,High,3,Good,Outstanding,2670,5840.8
1,11,Research & Development,Laboratory Technician,No,Male,30,Divorced,Below College,Life Sciences,Travel_Rarely,High,1,High,67,22,No,1,0,Very High,2,Better,Outstanding,2693,5840.8
1,12,Research & Development,Manufacturing Director,No,Male,38,Single,Bachelor,Life Sciences,Travel_Frequently,Medium,3,High,44,21,No,10,1,Very High,2,Better,Outstanding,9526,5840.8
1,13,Research & Development,Healthcare Representative,No,Male,36,Married,Bachelor,Medical,Travel_Rarely,High,2,High,94,13,No,17,7,High,3,Good,Excellent,5237,5840.8
1,14,Research & Development,Laboratory Technician,No,Male,35,Married,Bachelor,Medical,Travel_Rarely,Very High,1,Medium,84,13,No,6,0,Low,5,Better,Excellent,2426,5840.8
1,15,Research & Development,Laboratory Technician,No,Female,29,Single,College,Life Sciences,Travel_Rarely,Medium,2,High,49,12,Yes,10,0,Very High,3,Better,Excellent,4193,5840.8
1,16,Research & Development,Research Scientist,No,Male,31,Divorced,Below College,Life Sciences,Travel_Rarely,High,1,High,31,17,No,5,4,Low,1,Good,Excellent,2911,5840.8
1,18,Research & Development,Laboratory Technician,No,Male,34,Divorced,College,Medical,Travel_Rarely,High,1,Very High,93,11,No,3,1,Medium,2,Better,Excellent,2661,5840.8
1,19,Research & Development,Laboratory Technician,Yes,Male,28,Single,Bachelor,Life Sciences,Travel_Rarely,Medium,1,High,50,14,Yes,6,0,High,4,Better,Excellent,2028,5840.8
1,20,Research & Development,Manufacturing Director,No,Female,29,Divorced,Master,Life Sciences,Travel_Rarely,Very High,3,Low,51,11,No,10,8,Medium,1,Better,Excellent,9980,5840.8
1,21,Research & Development,Research Scientist,No,Male,32,Divorced,College,Life Sciences,Travel_Rarely,Very High,1,Medium,80,12,Yes,7,0,Low,5,Good,Excellent,3298,5840.8
1,22,Research & Development,Laboratory Technician,No,Male,22,Divorced,College,Medical,Non-Travel,Very High,1,Very High,96,13,Yes,1,0,Very High,2,Good,Excellent,2935,5840.8
1,23,Sales,Manager,No,Female,53,Married,Master,Life Sciences,Travel_Rarely,Medium,4,Very High,78,16,No,31,3,Low,3,Better,Excellent,15427,5840.8
1,24,Research & Development,Research Scientist,No,Male,38,Single,Bachelor,Life Sciences,Travel_Rarely,High,1,Very High,45,11,Yes,6,1,Very High,3,Better,Excellent,3944,5840.8
1,26,Research & Development,Manufacturing Director,No,Female,24,Divorced,College,Other,Non-Travel,Very High,2,High,96,18,No,5,1,Low,5,Good,Excellent,4011,5840.8
1,27,Sales,Sales Representative,Yes,Male,36,Single,Master,Life Sciences,Travel_Rarely,Medium,1,Low,82,23,No,10,0,High,4,Better,Outstanding,3407,5840.8
1,28,Research & Development,Research Director,No,Female,34,Single,Master,Life Sciences,Travel_Rarely,High,3,Medium,53,11,No,13,2,Low,4,Better,Excellent,11994,5840.8
1,30,Research & Development,Research Scientist,No,Male,21,Single,College,Life Sciences,Travel_Rarely,High,1,Very High,96,14,No,0,0,High,6,Better,Excellent,1232,5840.8
1,31,Research & Development,Research Scientist,Yes,Male,34,Single,Below College,Medical,Travel_Rarely,High,1,Low,83,11,No,8,1,Medium,2,Better,Excellent,2960,5840.8
1,32,Research & Development,Manager,No,Female,53,Divorced,Bachelor,Other,Travel_Rarely,High,5,High,58,11,No,26,4,High,3,Good,Excellent,19094,5840.8
1,33,Research & Development,Research Scientist,Yes,Female,32,Single,Below College,Life Sciences,Travel_Frequently,Low,1,Low,72,22,Yes,10,6,Medium,5,Better,Outstanding,3919,5840.8
1,35,Sales,Sales Executive,No,Male,42,Married,Master,Marketing,Travel_Rarely,High,2,Medium,48,11,No,10,4,High,2,Better,Excellent,6825,5840.8
1,36,Research & Development,Healthcare Representative,No,Female,44,Married,Master,Medical,Travel_Rarely,Medium,3,Very High,42,14,No,24,5,Low,4,Better,Excellent,10248,5840.8
1,38,Sales,Manager,No,Female,46,Single,Master,Marketing,Travel_Rarely,High,5,Low,83,12,No,22,2,Medium,2,Good,Excellent,18947,5840.8
1,39,Research & Development,Laboratory Technician,No,Male,33,Single,Bachelor,Medical,Travel_Rarely,High,1,Very High,78,11,No,7,0,High,3,Better,Excellent,2496,5098.233333
1,40,Research & Development,Healthcare Representative,No,Male,44,Married,Master,Other,Travel_Rarely,High,2,Very High,41,13,Yes,9,1,Very High,5,Best,Excellent,6465,5098.233333
1,41,Research & Development,Laboratory Technician,No,Male,30,Single,College,Medical,Travel_Rarely,Medium,1,High,83,13,No,10,1,Very High,5,Better,Excellent,2206,5098.233333
1,42,Sales,Sales Representative,Yes,Male,39,Married,Bachelor,Technical Degree,Travel_Rarely,High,2,Very High,56,14,No,19,0,Very High,6,Best,Excellent,2086,5098.233333
1,45,Research & Development,Research Scientist,Yes,Male,24,Married,Bachelor,Medical,Travel_Rarely,High,1,Very High,61,16,Yes,6,2,Medium,2,Good,Excellent,2293,5098.233333
1,46,Research & Development,Research Scientist,No,Female,43,Divorced,College,Medical,Travel_Rarely,Very High,1,High,72,12,No,6,1,Very High,3,Good,Excellent,2645,5098.233333
1,47,Sales,Sales Representative,Yes,Male,50,Married,College,Marketing,Travel_Rarely,Medium,1,High,86,14,Yes,3,0,Low,2,Better,Excellent,2683,5098.233333
1,49,Sales,Sales Representative,No,Female,35,Married,Bachelor,Marketing,Travel_Rarely,High,1,Very High,97,13,No,2,2,Very High,3,Better,Excellent,2014,5098.233333
1,51,Research & Development,Research Scientist,No,Female,36,Married,Master,Life Sciences,Travel_Rarely,Medium,1,Low,82,14,Yes,6,0,Medium,3,Best,Excellent,3419,5098.233333
1,52,Sales,Sales Executive,No,Female,33,Married,Bachelor,Life Sciences,Travel_Frequently,Very High,2,Low,42,19,No,10,1,High,3,Better,Excellent,5376,5098.233333
1,53,Research & Development,Laboratory Technician,No,Male,35,Divorced,College,Other,Travel_Rarely,High,1,Very High,75,12,No,1,0,High,3,Better,Excellent,1951,5098.233333
